cov_name,fpath_append,type,start_month,end_month,start_year,end_year,fname,used_sam,other_var,othervar_start,othervar_end
EVI,mean,yearmon,2,10,2000,2014,YEAR.MONTH.mean.tif,T,,,
LST_day,mean,yearmon,3,10,2000,2014,YEAR.MONTH.mean.tif,T,,,
LST_night,mean,yearmon,3,10,2000,2014,YEAR.MONTH.mean.tif,T,,,
TCW,mean,yearmon,2,10,2000,2014,YEAR.MONTH.mean.tif,T,,,
TSI,mean,yearmon,4,10,2000,2014,YEAR.MONTH.mean.tif,T,,,
LST_delta,mean,yearmon,3,10,2000,2014,YEAR.MONTH.mean.tif,F,,,
TCB,mean,yearmon,2,10,2000,2014,YEAR.MONTH.mean.tif,F,,,
AfriPop,,year,,,2000,2015,YEAR.total.population.tif,T,,,
IGBP_Landcover,Fraction,year,,,2001,2012,YEAR.fraction.class.FRACTIONCLASS.tif,T,FRACTIONCLASS,0,16
Poverty,,static,,,,,PET_1950-2000_5km.mean.tif,T,,,
Poverty,,static,,,,,AI_1950-2000_5km.mean.tif,T,,,
Poverty,,static,,,,,accessibility_50k_5km.mean.tif,T,,,
Poverty,,static,,,,,viirs_nighttime_5km.mean.tif,T,,,
Seasonality,,static,,,,,pf_seasonality.tif,T,,,
Topographic,,static,,,,,Africa_TMI_90m.mean.tif,T,,,
Topographic,,static,,,,,Africa_SRTM_90m.mean.tif,T,,,
Topographic,,static,,,,,Africa_slope_90m.mean.tif,T,,,
Poverty,,static,,,,,DMSP_F18_5km.mean.tif,F,,,
Topographic,,static,,,,,Africa_FA_90m.mean.tif,F,,,
worldclim,,static,,,,,prec57a0.tif,F,,,
